p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
8.99503642460389e-08,1.32555679947899,0.259,0.197,0.00180287515058336,2,Hspa1a
0,4.73022691869916,0.978,0.537,0,3,Ptn
0,4.03213621224756,1,0.262,0,3,Prlr
0,3.50267864694002,0.977,0.18,0,3,Cited1
0,3.48588833587554,0.937,0.289,0,3,Areg
0,3.22860844859535,0.997,0.405,0,3,Slc12a2
0,3.22099610482561,0.977,0.248,0,3,Phyh
0,3.01059400865105,0.913,0.138,0,3,Calca
0,2.73265534870863,0.968,0.109,0,3,Wfdc2
0,2.71725817481118,0.816,0.033,0,3,Snhg11
0,2.67157857557195,0.972,0.218,0,3,Gpx3
0,2.66270004746024,0.948,0.109,0,3,Aqp5
0,2.32485210485299,0.728,0.063,0,3,Tph1
0,2.31618465009731,0.998,0.688,0,3,Cd164
0,2.21447510754128,0.927,0.033,0,3,Tspan1
0,2.14981358580259,0.613,0.034,0,3,Upk3a
0,2.12448494713591,0.975,0.135,0,3,Krt7
0,2.07360578980549,0.967,0.036,0,3,Gipc2
0,2.00170979341165,0.938,0.091,0,3,Tmem56
0,1.90255742588826,0.91,0.158,0,3,Tmem158
0,1.86482793714125,0.92,0.114,0,3,Wnt4
0,1.8601699063479,0.895,0.031,0,3,Cxcl15
0,1.81031127136028,0.888,0.048,0,3,Col8a1
0,1.76648010665635,0.917,0.063,0,3,Cldn10
0,1.74120088590103,0.91,0.096,0,3,Slc7a2
0,1.73430523264958,0.915,0.065,0,3,Dnajc12
0,1.70745401080505,0.968,0.161,0,3,Alcam
0,1.69654080618631,0.735,0.031,0,3,R3hdml
0,1.66631981423262,0.664,0.03,0,3,Hp
0,1.64569036762775,0.83,0.174,0,3,Hmgcs2
0,1.62680680884334,0.845,0.045,0,3,Samd5
0,1.60797388049437,0.935,0.167,0,3,Cd200
0,1.56151267239394,0.903,0.206,0,3,Gclc
0,1.53326147837544,0.83,0.054,0,3,Capsl
0,1.52987039146456,0.973,0.28,0,3,Qsox1
0,1.50159715490204,0.883,0.121,0,3,Stc2
4.22462039882858e-301,1.63744456888942,0.977,0.334,8.46740666537213e-297,3,Spint2
2.04676318480051e-297,2.39627020928204,0.771,0.152,4.10232745129567e-293,3,Clca3a2
7.56026433990567e-290,1.64769266759415,0.988,0.458,1.51530378164729e-285,3,Ktn1
6.78236469242779e-288,2.53446941619091,0.997,0.563,1.3593893553033e-283,3,Krt18
2.90662046195684e-272,1.52466097634407,0.851,0.189,5.82573939190009e-268,3,Cldn4
2.32268435533909e-268,2.07939439126121,0.987,0.401,4.65535625340613e-264,3,Krt19
2.02529246214915e-267,1.55581163863359,0.975,0.638,4.05929368188554e-263,3,Ndufa7
1.60914807488533e-265,1.72889919828571,0.982,0.362,3.22521548649266e-261,3,Trps1
9.49553351756676e-257,1.55894321484929,0.947,0.343,1.90318978292591e-252,3,Tsc22d1
7.47042732288966e-249,1.67386545270134,0.993,0.707,1.49729774832677e-244,3,Cd9
2.69069168257e-247,1.96259727683628,0.998,0.541,5.39295333937506e-243,3,Krt8
1.93566716512556e-246,2.06698203100732,0.998,0.54,3.87965769906116e-242,3,Epcam
1.00073141912253e-206,1.52347313363967,0.987,0.609,2.00576598334729e-202,3,Vmp1
1.69506416941827e-206,1.5494052555143,0.826,0.257,3.39741711476505e-202,3,Sox9
2.0026289400786e-132,2.92054765081937,0.431,0.094,4.01386918459955e-128,3,Fxyd2
